Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2020-07-04 00:00:00,ЭТЛ,ШПА1,Система контроля загазованности,Неестественные показания газосигнализатора,"Рекламация, замена/ремонт по гарантии",ЭТЛ ШПА1 Система контроля загазованности Неестественные показания газосигнализатора,"Рекламация, замена/ремонт по гарантии"
2020-07-09 00:00:00,ЭТЛ,ДГУ2,Система запуска,Низкое напряжение АКБ,Замена 4 АКБ,ЭТЛ ДГУ2 Система запуска Низкое напряжение АКБ,Замена 4 АКБ
2020-07-11 00:00:00,ЭТЛ,ДГУ3,Система контроля подшипников,Повреждение кабеля подключения,Замена поврежденного участка кабеля,ЭТЛ ДГУ3 Система контроля подшипников Повреждение кабеля подключения,Замена поврежденного участка кабеля
2020-07-13 00:00:00,ЭТЛ,ДГУ2,Система контроля состояние ДГУ,Повреждение кабеля подключения,Замена поврежденного участка кабеля,ЭТЛ ДГУ2 Система контроля состояние ДГУ Повреждение кабеля подключения,Замена поврежденного участка кабеля
2020-07-26 00:00:00,ЭТЛ,Собственные нужды ДГУ2,Система управления задвижкой на входе котла СУТ,Обрыв в чувствиетльном элементе,Замена неисправных датчиков,ЭТЛ Собственные нужды ДГУ2 Система управления задвижкой на входе котла СУТ Обрыв в чувствиетльном элементе,Замена неисправных датчиков
2020-08-06 00:00:00,ЭТЛ,ДГУ3,Система входа ДГУ в параллельную работу,Недостаточное усилие срабатывания катушки,Замена электромагнитной катушки включения секционного автомата,ЭТЛ ДГУ3 Система входа ДГУ в параллельную работу Недостаточное усилие срабатывания катушки,Замена электромагнитной катушки включения секционного автомата
2020-08-05 00:00:00,ЭТЛ,Собственные нужды ДГУ3,Система управления задвижкой на входе котла СУТ,Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07,ЭТЛ Собственные нужды ДГУ3 Система управления задвижкой на входе котла СУТ Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07
2020-08-11 00:00:00,ЭТЛ,Собственные нужды ДГУ2,Система управления задвижкой на входе котла СУТ,Обрыв в чувствиетльном элементе,Замена 4 неисправных датчиков,ЭТЛ Собственные нужды ДГУ2 Система управления задвижкой на входе котла СУТ Обрыв в чувствиетльном элементе,Замена 4 неисправных датчиков
2020-09-07 00:00:00,ЭТЛ,Ультрозвуковая ванна малая,Ситстема ультрозвуковой чистки,Рассыпались ультрозвуковые генераторы,"Рекламация, замена/ремонт по гарантии",ЭТЛ Ультрозвуковая ванна малая Ситстема ультрозвуковой чистки Рассыпались ультрозвуковые генераторы,"Рекламация, замена/ремонт по гарантии"
2020-09-08 00:00:00,ЭТЛ,ШУ3,Система обогрева трубопроводов,Отказ электронной платы у      3-ех регуляторов,"Рекламация, замена/ремонт по гарантии",ЭТЛ ШУ3 Система обогрева трубопроводов Отказ электронной платы у      3-ех регуляторов,"Рекламация, замена/ремонт по гарантии"
2020-09-09 00:00:00,ЭТЛ,ШУВ2,Система вентиляции,Обрыв в чувствиетльном элементе,Замена неисправного датчика,ЭТЛ ШУВ2 Система вентиляции Обрыв в чувствиетльном элементе,Замена неисправного датчика
2020-09-10 00:00:00,ЭТЛ,ШОТ,Выпрямительная система,Отказ электронной платы контроллера,Замена на более современный Cordex CXC HP,ЭТЛ ШОТ Выпрямительная система Отказ электронной платы контроллера,Замена на более современный Cordex CXC HP
2020-09-17 00:00:00,ЭТЛ,Собственные нужды ДГУ5,Система управления задвижкой на входе котла СУТ,Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07,ЭТЛ Собственные нужды ДГУ5 Система управления задвижкой на входе котла СУТ Отказ электронной платы управления привода,Установка более надежного привода Auma SG 05.1-F07
2020-09-20 00:00:00,ЭТЛ,Компрессор Sauer №1,Система сброса кондесата,Отказ электромагнитной катушки клапана,Замена элетромагнитной катушки,ЭТЛ Компрессор Sauer №1 Система сброса кондесата Отказ электромагнитной катушки клапана,Замена элетромагнитной катушки
2020-09-22 00:00:00,ЭТЛ,ШУ ДГУ2,Система управления ДГУ,Перегорел,Замена предохранителя,ЭТЛ ШУ ДГУ2 Система управления ДГУ Перегорел,Замена предохранителя
2020-09-22 00:00:00,ЭТЛ,ШУ1,Система автоматизации    S7-300,Режим останов без аврийной индикации,Запуск в работу контроллера,ЭТЛ ШУ1 Система автоматизации    S7-300 Режим останов без аврийной индикации,Запуск в работу контроллера
2020-09-22 00:00:00,ЭТЛ,ШУ ДГУ4,Система управления ДГУ,Залипание внутрннего выходного реле,Восстановление работы реле,ЭТЛ ШУ ДГУ4 Система управления ДГУ Залипание внутрннего выходного реле,Восстановление работы реле
2020-10-02 00:00:00,ЭТЛ,ШУ ДГУ6,Система управления охлождением ДГУ,Не сработали НР-контакты,Замена реле времени,ЭТЛ ШУ ДГУ6 Система управления охлождением ДГУ Не сработали НР-контакты,Замена реле времени
2020-10-26 00:00:00,ЭТЛ,Насосная ДТ,Система управления задвижкой №4 Auma SDE0 56-2/45,КЗ в гильзе клемной коробки К1,Установка новой клемной коробки; переподключение кабеля,ЭТЛ Насосная ДТ Система управления задвижкой №4 Auma SDE0 56-2/45 КЗ в гильзе клемной коробки К1,Установка новой клемной коробки; переподключение кабеля
2020-10-30 00:00:00,ЭТЛ,ШУ1,Система автоматизации    S7-300,Сбой программного обеспечения CPU,Полный сброс памяти CPU; перезалив исполняющей программы,ЭТЛ ШУ1 Система автоматизации    S7-300 Сбой программного обеспечения CPU,Полный сброс памяти CPU; перезалив исполняющей программы
2020-11-11 00:00:00,ЭТЛ,BU,Блок управления вакуумным выключателем,Отказ электронной платы,Замена блока,ЭТЛ BU Блок управления вакуумным выключателем Отказ электронной платы,Замена блока
2020-11-11 00:00:00,ЭТЛ,ВА2,Автоматика выключателя,Перегорела обмотка,Отключение аварийного участка схемы,ЭТЛ ВА2 Автоматика выключателя Перегорела обмотка,Отключение аварийного участка схемы
2020-11-17 00:00:00,ЭТЛ,ШУ1,Система автоматизации    S7-300,Сбой программного обеспечения CPU,Полный сброс памяти CPU; перезалив исполняющей программы,ЭТЛ ШУ1 Система автоматизации    S7-300 Сбой программного обеспечения CPU,Полный сброс памяти CPU; перезалив исполняющей программы
2020-11-27 00:00:00,ЭТЛ,ШУ освещения,Система управления уличным освещением,Нагрелся и оплавился один полюс; заводской брак,Замена автоматического выключателя,ЭТЛ ШУ освещения Система управления уличным освещением Нагрелся и оплавился один полюс; заводской брак,Замена автоматического выключателя
2020-12-02 00:00:00,ЭТЛ,ЗДЗ 2 секции шин 6кВ,Дуговая защита ,Повреждение,"Замена ВОД в ячейках 10, 11, 24",ЭТЛ ЗДЗ 2 секции шин 6кВ Дуговая защита  Повреждение,"Замена ВОД в ячейках 10, 11, 24"
2020-12-14 00:00:00,ЭТЛ,ШУ1,Система автоматизации    S7-300,Отказ электронной платы у      2-ух модулей,Замена неисправных на модули DI32 и DO32; обновление прошивки и перепрограммирование CPU315-2PN/DP,ЭТЛ ШУ1 Система автоматизации    S7-300 Отказ электронной платы у      2-ух модулей,Замена неисправных на модули DI32 и DO32; обновление прошивки и перепрограммирование CPU315-2PN/DP
2020-12-24 00:00:00,ЭТЛ,ВВ4 ячейки №4,ТОР-200,Монтаж заземляющего проводника кабельного ввода,Восстановление заземляющего проводника кабельного ввода ,ЭТЛ ВВ4 ячейки №4 ТОР-200 Монтаж заземляющего проводника кабельного ввода,Восстановление заземляющего проводника кабельного ввода 
2021-01-18 00:00:00,ЭТЛ,ШкК,Система контроля уровня и температуры в резервуарах,Неисправность аккумуляторной батареи ,"Замена АКБ 12В/7А*ч, сделана заявка на новый АКБ ",ЭТЛ ШкК Система контроля уровня и температуры в резервуарах Неисправность аккумуляторной батареи ,"Замена АКБ 12В/7А*ч, сделана заявка на новый АКБ "
2021-01-22 00:00:00,ЭТЛ,ШкК,Система контроля уровня и температуры в резервуарах,Неисправность микросхемы интегрального термометра в точке измерения №4,"Сделана заявка на новый датчик для замены, ремонт неисправного возможен только на заводе-изготовителе ",ЭТЛ ШкК Система контроля уровня и температуры в резервуарах Неисправность микросхемы интегрального термометра в точке измерения №4,"Сделана заявка на новый датчик для замены, ремонт неисправного возможен только на заводе-изготовителе "
2021-01-30 00:00:00,ЭТЛ,Контроллер температуры T154,Система тепловой защиты трансформатора,Короткое замыкание в цепи питания,Замена контроллера температуры T154,ЭТЛ Контроллер температуры T154 Система тепловой защиты трансформатора Короткое замыкание в цепи питания,Замена контроллера температуры T154
2021-02-12 00:00:00,ЭТЛ,Горелка Saacke SKVJ-50 пикового котла,Система защиты горелки ,Низкое давление воздуха на реле,Дифференциальное реле исключено из системы защиты горелки,ЭТЛ Горелка Saacke SKVJ-50 пикового котла Система защиты горелки  Низкое давление воздуха на реле,Дифференциальное реле исключено из системы защиты горелки
2021-02-14 00:00:00,ЭТЛ,ШУ-2,Система управления насосом-дозатором ГПХН,Нарушение межблочного соединения блока дополнительных контактов с автоматическим выключателем,Ревизия блока дополнительных контактов автоматического выключателя,ЭТЛ ШУ-2 Система управления насосом-дозатором ГПХН Нарушение межблочного соединения блока дополнительных контактов с автоматическим выключателем,Ревизия блока дополнительных контактов автоматического выключателя
2021-05-29 00:00:00,ЭТЛ,АРМ оператора,Система автоматизации,"Неправильная работы оснастки ""службы"" и как следствие неправильная работы службы лицензирования Siemens","Налажена временная схема работы с удаленным доступом на испраный ПК, требуется переустановка или восстановление Windows и службы лицнзирования","ЭТЛ АРМ оператора Система автоматизации Неправильная работы оснастки ""службы"" и как следствие неправильная работы службы лицензирования Siemens","Налажена временная схема работы с удаленным доступом на испраный ПК, требуется переустановка или восстановление Windows и службы лицнзирования"
2021-07-09 00:00:00,ЭТЛ,КОС-350,Насосное оборудование,Не достаточно квалификации персонала для точного определения выхода из строя частотного преобразователя,Замена ПЧ на резервный,ЭТЛ КОС-350 Насосное оборудование Не достаточно квалификации персонала для точного определения выхода из строя частотного преобразователя,Замена ПЧ на резервный
2021-07-25 00:00:00,ЭТЛ,КОС-120,Щитовое оборудование,Старение изоляции,Замена пускателя на новый,ЭТЛ КОС-120 Щитовое оборудование Старение изоляции,Замена пускателя на новый
2021-07-27 00:00:00,ЭТЛ,КОС-120,Щитовое оборудование,Старение изоляции,Замена автоматического выключателя,ЭТЛ КОС-120 Щитовое оборудование Старение изоляции,Замена автоматического выключателя
2021-07-27 00:00:00,ЭТЛ,КОС-120,Щитовое оборудование,Негативное воздействие окружающей среды (ШУ находятся в одном помещении с технологическим оборудованием и емкостями с канализационными стоками),"Перевод части оборудования в ручной режим работы 
5 ноября 2021 неисправность устранена, оборудование работает в штатном режиме",ЭТЛ КОС-120 Щитовое оборудование Негативное воздействие окружающей среды (ШУ находятся в одном помещении с технологическим оборудованием и емкостями с канализационными стоками),"Перевод части оборудования в ручной режим работы 
5 ноября 2021 неисправность устранена, оборудование работает в штатном режиме"
2021-11-06 00:00:00,ЭТЛ, ТП 93о,ШУНО,Старение оборудования,"Перевод на ручной режим
6 ноября 2021 замена датчика освещености, неисправность устранена",ЭТЛ  ТП 93о ШУНО Старение оборудования,"Перевод на ручной режим
6 ноября 2021 замена датчика освещености, неисправность устранена"
2022-05-02 00:00:00,ЭТЛ,ВЗУ,Расходомер,Старение оборудования,"Перевод на режим постоянного подключения питания, неисправность устранена",ЭТЛ ВЗУ Расходомер Старение оборудования,"Перевод на режим постоянного подключения питания, неисправность устранена"
2022-05-19 00:00:00,ЭТЛ,РМЦ,Сверлильный станок,Попадание постороннего предмета в механизм пускателя,ремонт магнитного пускателя,ЭТЛ РМЦ Сверлильный станок Попадание постороннего предмета в механизм пускателя,ремонт магнитного пускателя
2022-05-20 00:00:00,ЭТЛ,Прачечная,Стиральная машина,Старение оборудования,Замена тэна,ЭТЛ Прачечная Стиральная машина Старение оборудования,Замена тэна
2022-05-25 00:00:00,ЭТЛ, ТП 98к,Учет электроэнергии,"Старение оборудования, прибор неремонтопригоден",Замена прибора учета электроэнергии,"ЭТЛ  ТП 98к Учет электроэнергии Старение оборудования, прибор неремонтопригоден",Замена прибора учета электроэнергии
2022-05-26 00:00:00,ЭТЛ, АСУЭ,Блок питания,"Старение оборудования, прибор неремонтопригоден","Отключение, очистка от загрязнений","ЭТЛ  АСУЭ Блок питания Старение оборудования, прибор неремонтопригоден","Отключение, очистка от загрязнений"
2022-07-04 00:00:00,ЭТЛ,КОС-120,Контроллер,Отключение питания на ГОКе по причине 3 фазного КЗ (импульсные нагрузки в сети питания),Замена микросхемы (регулятор напряжения),ЭТЛ КОС-120 Контроллер Отключение питания на ГОКе по причине 3 фазного КЗ (импульсные нагрузки в сети питания),Замена микросхемы (регулятор напряжения)
2022-08-14 00:00:00,ЭТЛ,ТП 61п,Реле,Причину пробоя сложно определить,замена на исправный,ЭТЛ ТП 61п Реле Причину пробоя сложно определить,замена на исправный
2022-08-14 00:00:00,ЭТЛ,Варочная панель,Плата управления,"Старение оборудования, прибор неремонтопригоден",Замена на исправный,"ЭТЛ Варочная панель Плата управления Старение оборудования, прибор неремонтопригоден",Замена на исправный
2022-09-09 00:00:00,ЭТЛ,КОС 120 ,Атоматика насосов мешалок,Старение оборудования,Замена на исправный,ЭТЛ КОС 120  Атоматика насосов мешалок Старение оборудования,Замена на исправный
2020-08-25 00:00:00,УЭ ,"ВЛЗ №1  6кВ  ""ВПС-2""",РЛ РВ120-1а,Деформация губок подвижных контактов,"ТО, регулировка разъединителя","УЭ  ВЛЗ №1  6кВ  ""ВПС-2"" РЛ РВ120-1а Деформация губок подвижных контактов","ТО, регулировка разъединителя"
2020-09-01 00:00:00,УЭ ,"ВЛЗ №1  6кВ  ""ВПС-1""",РЛ РВ18-1а,Деформация губок подвижных контактов,"ТО, регулировка разъединителя","УЭ  ВЛЗ №1  6кВ  ""ВПС-1"" РЛ РВ18-1а Деформация губок подвижных контактов","ТО, регулировка разъединителя"
2020-09-30 00:00:00,УЭ ,"ВЛЗ №9 6кВ №5/2 ""Хвосты""",ТП-39к,Отсутствие силовых элементов в основании приёмного устройства,Установка поддерживающих укосов приёмного устройства,"УЭ  ВЛЗ №9 6кВ №5/2 ""Хвосты"" ТП-39к Отсутствие силовых элементов в основании приёмного устройства",Установка поддерживающих укосов приёмного устройства
2020-10-02 00:00:00,УЭ ,"а/д Карпинского-1, Отвал-2","ВЛИ ""Осв-е а/дор. Карп-1 Отвал№2"" ",Старение,Замена,"УЭ  а/д Карпинского-1, Отвал-2 ВЛИ ""Осв-е а/дор. Карп-1 Отвал№2""  Старение",Замена
2020-10-14 00:00:00,УЭ ,"ВЛЗ №6/1 6кВ ""ВЗУ""",ТП-13к,Старение,Удалён,"УЭ  ВЛЗ №6/1 6кВ ""ВЗУ"" ТП-13к Старение",Удалён
2020-10-15 00:00:00,УЭ ,Общежитие №5,ЛПО 4х18 С,Старение,Замена ,УЭ  Общежитие №5 ЛПО 4х18 С Старение,Замена 
2020-10-15 00:00:00,УЭ ,"ВЛЗ №6/1 6кВ ""ВЗУ""",РЛ Р6В53-1а ТП-84кп,Деформация губок подвижных контактов,"ТО, регулировка разъединителя","УЭ  ВЛЗ №6/1 6кВ ""ВЗУ"" РЛ Р6В53-1а ТП-84кп Деформация губок подвижных контактов","ТО, регулировка разъединителя"
2020-10-16 00:00:00,УЭ ,Пож.депо,ЛПО 4х18; светодиодный растровый,Старение,"Замена, ремонт",УЭ  Пож.депо ЛПО 4х18; светодиодный растровый Старение,"Замена, ремонт"
2020-10-17 00:00:00,УЭ ,Столовая АБК,Мармит для 1-х блюд,Старение,"Замена, ревизия",УЭ  Столовая АБК Мармит для 1-х блюд Старение,"Замена, ревизия"
2020-10-17 00:00:00,УЭ ,МО-45,Прожектор LEADER ULS 1000,Старение,"Замена, ревизия",УЭ  МО-45 Прожектор LEADER ULS 1000 Старение,"Замена, ревизия"
2020-10-18 00:00:00,УЭ ,МО-44,Светильник ЖКУ22-1000-004,Старение,"Замена, ревизия",УЭ  МО-44 Светильник ЖКУ22-1000-004 Старение,"Замена, ревизия"
2020-10-19 00:00:00,УЭ ,РМЦ,Сварочный п/авт. KEMPPI FastMig KM65,Старение,"Замена, ревизия",УЭ  РМЦ Сварочный п/авт. KEMPPI FastMig KM65 Старение,"Замена, ревизия"
2020-10-19 00:00:00,УЭ ,МО-16,Светильники,Старение,"Ревизия, обслуживание",УЭ  МО-16 Светильники Старение,"Ревизия, обслуживание"
2020-10-22 00:00:00,УЭ ,"а/д Карпинского-1, Отвал-2","ВЛИ ""Осв-е а/дор. Карп-1 Отвал№2"" ",Старение,Замена,"УЭ  а/д Карпинского-1, Отвал-2 ВЛИ ""Осв-е а/дор. Карп-1 Отвал№2""  Старение",Замена
2020-10-26 00:00:00,УЭ ,а/д Развилка№7  до Отвал-2,ВЛИ№10  ,Старение,Замена,УЭ  а/д Развилка№7  до Отвал-2 ВЛИ№10   Старение,Замена
2020-10-26 00:00:00,УЭ ,а/д Развилка№7  до Отвал-2,ВЛИ№10  ,Старение,Замена,УЭ  а/д Развилка№7  до Отвал-2 ВЛИ№10   Старение,Замена
2020-10-26 00:00:00,УЭ ,а/д Развилка№7  до Отвал-2,ВЛИ№10  ,Старение,Замена,УЭ  а/д Развилка№7  до Отвал-2 ВЛИ№10   Старение,Замена
2020-10-27 00:00:00,УЭ ,ТП-97к,Выс.вольтный пр-тель,Старение,"Ревизия, обслуживание",УЭ  ТП-97к Выс.вольтный пр-тель Старение,"Ревизия, обслуживание"
2020-10-27 00:00:00,УЭ ,"Посёлок, Общ-е №4",Светильник ЛПО4х18,Старение,"Ревизия, обслуживание","УЭ  Посёлок, Общ-е №4 Светильник ЛПО4х18 Старение","Ревизия, обслуживание"
2020-10-28 00:00:00,УЭ ,РМЦ,Сверл-ый станок SRB-50,Износ,Ревизия,УЭ  РМЦ Сверл-ый станок SRB-50 Износ,Ревизия
2020-11-01 00:00:00,УЭ ,АБК,Светильник растровый светодиодный,Перегрев,Замена,УЭ  АБК Светильник растровый светодиодный Перегрев,Замена
2020-11-02 00:00:00,УЭ ,АБК,Светильник растровый светодиодный,Деградация,Замена,УЭ  АБК Светильник растровый светодиодный Деградация,Замена
2020-11-02 00:00:00,УЭ ,КОС-120,Светильник потолочный светодиодный,Перегрев,Демонтаж,УЭ  КОС-120 Светильник потолочный светодиодный Перегрев,Демонтаж
2020-11-02 00:00:00,УЭ ,КОС-120,Светильник потолочный светодиодный,Старение,Замена,УЭ  КОС-120 Светильник потолочный светодиодный Старение,Замена
2020-11-05 00:00:00,УЭ ,"Посёлок, магазин",Касса,Эксплатационный износ,"Ревизия, обслуживание","УЭ  Посёлок, магазин Касса Эксплатационный износ","Ревизия, обслуживание"
2020-11-06 00:00:00,УЭ ,"Посёлок, Общ-е №7",Светильник потолочный ,Старение,Замена,"УЭ  Посёлок, Общ-е №7 Светильник потолочный  Старение",Замена
2020-11-06 00:00:00,УЭ ,"Посёлок, Общ-е №8",Светильник потолочный ,Старение,Замена,"УЭ  Посёлок, Общ-е №8 Светильник потолочный  Старение",Замена
2020-11-06 00:00:00,УЭ ,Балок мастерской АЗС ТТ,Конвекторный обогреватель 1кВт,Эксплатационный износ,"Ремонт, обслуживание",УЭ  Балок мастерской АЗС ТТ Конвекторный обогреватель 1кВт Эксплатационный износ,"Ремонт, обслуживание"
2020-11-08 00:00:00,УЭ ,"ВЛ 6кВ ""Карьер-2""",РЛ Р2К20 (ТП-95к); РЛ Р2К21 (ТП-3П),Закусывание губок подвижных контактов,"ТО, регулировка разъединителя","УЭ  ВЛ 6кВ ""Карьер-2"" РЛ Р2К20 (ТП-95к); РЛ Р2К21 (ТП-3П) Закусывание губок подвижных контактов","ТО, регулировка разъединителя"
2020-11-08 00:00:00,УЭ ,Балок мастерской АСУТП (Wenco),Конвекторный обогреватель настенный 1кВт,Эксплатационный износ,"Ревизия, обслуживание",УЭ  Балок мастерской АСУТП (Wenco) Конвекторный обогреватель настенный 1кВт Эксплатационный износ,"Ревизия, обслуживание"
2020-11-10 00:00:00,УЭ ,общежитие №7,Светильник потолочный,Эксплатационный износ,Замена,УЭ  общежитие №7 Светильник потолочный Эксплатационный износ,Замена
2020-11-12 00:00:00,УЭ ,Столовая АБК,"Светильники потолочные, 3шт.",Эксплатационный износ,Замена,"УЭ  Столовая АБК Светильники потолочные, 3шт. Эксплатационный износ",Замена
2020-11-12 00:00:00,УЭ ,УЭ ЦСО,Конвектор (Thermor),Старение,Замена,УЭ  УЭ ЦСО Конвектор (Thermor) Старение,Замена
2020-11-12 00:00:00,УЭ ,СП-10,Блок управления вакуумного выключателя.(BBTel),Эксплатационный износ,Замена,УЭ  СП-10 Блок управления вакуумного выключателя.(BBTel) Эксплатационный износ,Замена
2020-11-13 00:00:00,УЭ ,Столовая Поселок,"Светильники потолочные, 2шт.",Эксплатационный износ,Замена,"УЭ  Столовая Поселок Светильники потолочные, 2шт. Эксплатационный износ",Замена
2020-11-13 00:00:00,УЭ ,Столовая Поселок,Светильник потолочный,Эксплатационный износ,Замена,УЭ  Столовая Поселок Светильник потолочный Эксплатационный износ,Замена
2020-11-14 00:00:00,УЭ ,Столовая Поселок,Посудомоечная машина,Эксплатационный износ,Замена,УЭ  Столовая Поселок Посудомоечная машина Эксплатационный износ,Замена
2020-11-15 00:00:00,УЭ ,Столовая АБК,Пароконвектомат,Старение,Замена,УЭ  Столовая АБК Пароконвектомат Старение,Замена
2020-11-16 00:00:00,УЭ ,ТП-64В,Линейный разъединитель РЛ-1,Деформация механизмов разъединителя.,"Ревизия, обслуживание",УЭ  ТП-64В Линейный разъединитель РЛ-1 Деформация механизмов разъединителя.,"Ревизия, обслуживание"
2020-11-17 00:00:00,УЭ ,ТП-70к,Вводной АВ,Ослабление контактов,Протяжка контактной группы,УЭ  ТП-70к Вводной АВ Ослабление контактов,Протяжка контактной группы
2020-11-18 00:00:00,УЭ ,Пожарное ДЕПО,Светильник потолочный,Эксплатационный износ,Замена,УЭ  Пожарное ДЕПО Светильник потолочный Эксплатационный износ,Замена
2020-11-18 00:00:00,УЭ ,Общежитие №8,Светильник настенный 4 шт.,Эксплатационный износ,Замена,УЭ  Общежитие №8 Светильник настенный 4 шт. Эксплатационный износ,Замена
2020-11-19 00:00:00,УЭ ,ЦСО ГТТ,Светильник потолочный 6 шт.,Эксплатационный износ,Замена,УЭ  ЦСО ГТТ Светильник потолочный 6 шт. Эксплатационный износ,Замена
2020-11-19 00:00:00,УЭ ,Общежитие №2,Греющий кабель канализации,Эксплатационный износ,Отключение от питающей сети,УЭ  Общежитие №2 Греющий кабель канализации Эксплатационный износ,Отключение от питающей сети
2020-11-20 00:00:00,УЭ ,Балок Механика ЦСО ГТТ,Питающий кабель,Эксплатационный износ затяжки контакта,Протяжка контактной группы,УЭ  Балок Механика ЦСО ГТТ Питающий кабель Эксплатационный износ затяжки контакта,Протяжка контактной группы
2020-11-21 00:00:00,УЭ ,Балки посёлка РБП,Светильник потолочный 4 шт.,Эксплатационный износ,Замена,УЭ  Балки посёлка РБП Светильник потолочный 4 шт. Эксплатационный износ,Замена
2020-11-22 00:00:00,УЭ ,Территория ЦСО ГТТ,Линия освещения периметра,Эксплатационный износ,Включение ручного режима,УЭ  Территория ЦСО ГТТ Линия освещения периметра Эксплатационный износ,Включение ручного режима
2020-11-22 00:00:00,УЭ ,Балок №8,Светильник потолочный,Эксплатационный износ,Замена,УЭ  Балок №8 Светильник потолочный Эксплатационный износ,Замена
2020-11-23 00:00:00,УЭ ,"ВЛ 6кВ ""Карьер-2""",Траверса,Эксплатационный износ,Ремонт,"УЭ  ВЛ 6кВ ""Карьер-2"" Траверса Эксплатационный износ",Ремонт
2020-11-24 00:00:00,УЭ ,Общежитие №1,Светильник потолочный,Эксплатационный износ,Замена,УЭ  Общежитие №1 Светильник потолочный Эксплатационный износ,Замена
2020-11-24 00:00:00,УЭ ,ЦСО ГТТ,Светильник потолочный,Эксплатационный износ,Замена,УЭ  ЦСО ГТТ Светильник потолочный Эксплатационный износ,Замена
2020-11-25 00:00:00,УЭ ,ВЛИ 0.4 от ТП-93о,Анкерная опора,Обрыв монтажной ленты,Ремонт,УЭ  ВЛИ 0.4 от ТП-93о Анкерная опора Обрыв монтажной ленты,Ремонт
2020-11-26 00:00:00,УЭ ,Столовая Поселок,Элетроплита,Эксплатационный износ,Замена,УЭ  Столовая Поселок Элетроплита Эксплатационный износ,Замена
2020-11-27 00:00:00,УЭ ,АБК туалет,Светильник потолочный,Эксплатационный износ,Замена,УЭ  АБК туалет Светильник потолочный Эксплатационный износ,Замена
2020-11-28 00:00:00,УЭ ,Пожарное ДЕПО,Светильник ЖКУ22-1000-004,Эксплатационный износ,Замена,УЭ  Пожарное ДЕПО Светильник ЖКУ22-1000-004 Эксплатационный износ,Замена
